Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000070524	SUCS_NB	SUBEL	_	13014	MXN	01/07/2024	2024	7	7	40200
NMP01	000000070914	SUCS_NB	EDIFC	_	13001	MXN	01/12/2011	2024	1	12	66640.94
NMP01	000000070915	SUCS_NB	EDIFC	_	13002	MXN	01/12/2011	2024	1	12	41553
NMP01	000000070916	SUCS_NB	EDIFC	_	13004	MXN	01/12/2011	2024	1	12	42808.16
NMP01	000000070917	SUCS_NB	EDIFC	_	13005	MXN	01/12/2011	2024	1	12	33078.87
NMP01	000000071268	SUCS_NB	EDIFC	_	13003	MXN	01/12/2011	2024	1	12	32582.53
NMP01	000000071269	SUCS_NB	EDIFC	_	13010	MXN	01/12/2011	2024	1	12	34887.82
NMP01	000000071270	SUCS_NB	EDIFC	_	13011	MXN	01/12/2011	2024	1	12	29451.13
NMP01	000000071271	SUCS_NB	EDIFC	_	13021	MXN	01/12/2011	2024	1	12	36212.94
NMP01	000000071272	SUCS_NB	EDIFC	_	13027	MXN	01/12/2011	2024	1	12	21281.25
NMP01	000000071445	SUCS_NB	PREOP	_	13059	MXN	01/03/2014	2024	1	12	37027.65
NMP01	000000071446	SUCS_NB	PREOP	_	13127	MXN	01/03/2014	2024	1	12	28344.21
NMP01	000000071456	SUCS_NB	EDIFC	_	13020	MXN	01/03/2014	2024	1	12	37560.74
